"","FIPS","Area","STATE","IS_D","tmp","prec","POPULATION","ST_AAP_TOT_TOT","ST_POPULATION","ST_GR_INCOME_PC"
"133","08117","Summit, CO","COLORADO",0,34.8833333333333,2.39333333333333,28084,49996.9440766018,5119188,4.38942742903645
"134","08119","Teller, CO","COLORADO",0,40.2166666666667,1.42166666666667,23286,49996.9440766018,5119188,4.38942742903645
"135","08121","Washington, CO","COLORADO",0,49.7,1.515,4743,49996.9440766018,5119188,4.38942742903645
"136","08123","Weld, CO*","COLORADO",0,48.55,1.36833333333333,258604,49996.9440766018,5119188,4.38942742903645
"137","09003","Hartford, CT","CONNECTICUT",0,51.0833333333333,5.5725,898033,62284.812060711,3594193,-0.274044804678542
"138","09005","Litchfield, CT","CONNECTICUT",0,48.825,5.61916666666667,189659,62284.812060711,3594193,-0.274044804678542
"139","09013","Tolland, CT","CONNECTICUT",0,50.1333333333333,5.46833333333333,152960,62284.812060711,3594193,-0.274044804678542
"140","10001","Kent, DE","DELAWARE",0,57.4833333333333,3.67,164997,51440.3585616787,908169,4.72606179280828
"141","12001","Alachua, FL","FLORIDA",0,70.225,3.58666666666667,250719,43101.7622491596,19039100,1.65922151771742
"142","12023","Columbia, FL","FLORIDA",0,69.0416666666667,4.075,67012,43101.7622491596,19039100,1.65922151771742
"143","12035","Flagler, FL","FLORIDA",0,71.4,3.83,97227,43101.7622491596,19039100,1.65922151771742
"144","12039","Gadsden, FL","FLORIDA",0,67.5,3.055,47170,43101.7622491596,19039100,1.65922151771742
"145","12051","Hendry, FL","FLORIDA",0,75.05,3.94833333333333,38614,43101.7622491596,19039100,1.65922151771742
"146","12055","Highlands, FL","FLORIDA",0,73.5166666666667,3.5625,97875,43101.7622491596,19039100,1.65922151771742
"147","12061","Indian River, FL","FLORIDA",0,73.5416666666667,4.3225,138901,43101.7622491596,19039100,1.65922151771742
"148","12071","Lee, FL","FLORIDA",0,75.5083333333333,4.11166666666667,628655,43101.7622491596,19039100,1.65922151771742
"149","12085","Martin, FL","FLORIDA",0,74.875,3.785,147512,43101.7622491596,19039100,1.65922151771742
"150","12099","Palm Beach, FL","FLORIDA",0,75.5583333333333,3.89916666666667,1335299,43101.7622491596,19039100,1.65922151771742
"151","12111","St. Lucie, FL","FLORIDA",0,74.2583333333333,4.09916666666667,279891,43101.7622491596,19039100,1.65922151771742
"152","12119","Sumter, FL","FLORIDA",0,71.6083333333333,4.05333333333333,97300,43101.7622491596,19039100,1.65922151771742
"153","12125","Union, FL","FLORIDA",0,69.5333333333333,4.11,15422,43101.7622491596,19039100,1.65922151771742
"154","13001","Appling, GA","GEORGIA",0,67.1833333333333,2.9725,18473,45930.5286747479,9805488,3.16884706047045
"155","13005","Bacon, GA","GEORGIA",0,67.2833333333333,2.90833333333333,11162,45930.5286747479,9805488,3.16884706047045
"156","13009","Baldwin, GA","GEORGIA",0,64.6666666666667,2.83916666666667,45016,45930.5286747479,9805488,3.16884706047045
"157","13013","Barrow, GA","GEORGIA",0,61.9666666666667,3.41416666666667,69676,45930.5286747479,9805488,3.16884706047045
"158","13019","Berrien, GA","GEORGIA",0,66.6083333333333,3.1975,19225,45930.5286747479,9805488,3.16884706047045
"159","13025","Brantley, GA","GEORGIA",0,67.55,3.545,18410,45930.5286747479,9805488,3.16884706047045
"160","13027","Brooks, GA","GEORGIA",0,67.1583333333333,3.33666666666667,16091,45930.5286747479,9805488,3.16884706047045
"161","13029","Bryan, GA","GEORGIA",0,67.575,2.9425,31682,45930.5286747479,9805488,3.16884706047045
"162","13035","Butts, GA","GEORGIA",0,63.2,3.25583333333333,23617,45930.5286747479,9805488,3.16884706047045
"163","13037","Calhoun, GA","GEORGIA",0,66.3833333333333,3.28833333333333,6534,45930.5286747479,9805488,3.16884706047045
"164","13039","Camden, GA","GEORGIA",0,68.6166666666667,3.34583333333333,50294,45930.5286747479,9805488,3.16884706047045
"165","13047","Catoosa, GA","GEORGIA",1,60.5833333333333,5.0075,64772,45930.5286747479,9805488,3.16884706047045
"166","13049","Charlton, GA","GEORGIA",0,68.475,3.6375,13340,45930.5286747479,9805488,3.16884706047045
"167","13055","Chattooga, GA","GEORGIA",0,61.05,5.19916666666667,25700,45930.5286747479,9805488,3.16884706047045
"168","13057","Cherokee, GA","GEORGIA",0,60.9166666666667,4.235,218056,45930.5286747479,9805488,3.16884706047045
